Year,lead_ban,time,intervention,preslope,postslope,waterfowl_hunters,waterfowl_days_hunted,tot_waterfowl,crippled_ducks,crippled_geese,duck_hunters,duck_days_afield,tot_allducks,reggeese_hunters,reggeese_days,tot_reggeese
1981,no,1,0,1,0,63652,874730,413264,104216,12573,54744,703534,337984,23610,132610,47384
1982,no,2,0,2,0,58766,795807,392897,82287,5868,52220,646394,327134,24058,107557,31073
1983,no,3,0,3,0,58240,815523,475601,96907,7627,50440,651409,403416,26199,124639,32357
1984,no,4,0,4,0,56533,748390,420357,84665,5711,49715,606325,355103,22426,102583,24822
1985,no,5,0,5,0,56899,699113,392253,100191,15918,51362,556800,316920,22160,105792,40300
1986,no,6,0,6,0,61876,887446,467164,145283,20699,53588,638090,379580,30327,200291,48160
1987,no,7,0,7,0,60371,814918,354194,98155,18375,51704,558172,289019,32246,224164,37628
1988,no,8,0,8,0,53450,644056,264316,65856,22730,43233,381985,185728,34456,251176,74382
1989,no,9,0,9,0,55709,749033,322359,66150,21696,43841,407478,224266,39459,329369,93094
1990,no,10,0,10,0,55152,708391,270796,59007,23895,38759,350119,197185,40459,346036,68446
1991,yes,11,1,10,1,59038,855279,406854,74932,27164,42911,393247,307570,43692,450807,94673
1992,yes,12,1,10,2,51274,714550,292535,68027,18631,39272,362275,216427,35253,334010,60764
1993,yes,13,1,10,3,51340,682498,326446,62250,21067,40941,366656,217600,35489,299120,94675
1994,yes,14,1,10,4,53226,816185,332803,65266,16234,44447,475264,246944,37090,320580,69543
1995,yes,15,1,10,5,55454,884328,498854,86834,18391,42499,482620,377292,37060,367341,95661
1996,yes,16,1,10,6,56956,836793,376248,64324,16641,44219,460517,284525,36582,339253,70803
1997,yes,17,1,10,7,54715,881030,401236,67979,12490,42587,514934,291161,33498,295107,68854
1998,yes,18,1,10,8,50288,795561,471072,74679,5514,41755,517372,386862,26343,202676,47512
1999,yes,19,1,10,9,58003,1472301,783195,95961,12934,51850,860368,562905,42246,464769,134179
2000,yes,20,1,10,10,56954,1115076,708092,70423,10071,43810,621542,497341,37593,383367,144743
2001,yes,21,1,10,11,59029,1337297,695790,88019,7148,53194,797884,534578,39570,382102,83096
2002,yes,22,1,10,12,53428,1054047,504616,59005,6382,47964,642542,349843,35352,323091,108711
2003,yes,23,1,10,13,57985,1251974,650906,77361,12661,50658,738914,486199,39275,409487,93665
2004,yes,24,1,10,14,54803,1083910,494775,63765,9433,49046,652960,369658,37189,345279,90090
2005,yes,25,1,10,15,48772,868299,526221,68121,7666,43185,539672,412348,30614,271708,83646
2006,yes,26,1,10,16,58302,1194801,700571,83648,14110,50437,658881,507464,41521,438350,136720
2007,yes,27,1,10,17,57454,1150304,678623,77914,16627,49114,600614,464366,43046,445670,152787
2008,yes,28,1,10,18,59379,1175243,660306,74044,14166,50683,600574,447795,44404,461868,160762
2009,yes,29,1,10,19,59987,1222980,613335,67718,12245,49648,626832,399555,44601,473769,160218
2010,yes,30,1,10,20,50936,985075,513882,57388,9217,43450,499758,354859,36803,385432,109016
2011,yes,31,1,10,21,52660,1147037,577654,64268,6937,46619,632712,427484,36996,411380,94923
2012,yes,32,1,10,22,50740,1155346,580557,71054,10452,43444,630233,478387,34034,386356,92280
2013,yes,33,1,10,23,49170,1052728,605720,59064,8847,43653,563961,430179,33809,391246,120746
2014,yes,34,1,10,24,50698,982193,550946,51909,7856,44019,525114,384828,34226,369179,107985
2015,yes,35,1,10,25,40104,795289,488321,47442,7622,36499,496656,329780,31280,330482,102774
2016,yes,36,1,10,26,41242,870721,490463,43666,6149,34386,459029,333406,26490,312725,101779
2017,yes,37,1,10,27,37215,732166,421384,37491,6657,30025,394034,277689,24039,276009,106486
